"","sigmasq coverage","sigmasq length","sigmatausq coverage","sigmatausq length"
"nonparam",19,0.384091826595757,12,0.0562246921533951
"param",18,0.389634909001847,20,0.0199807228574449
"BLUP",18,0.383420284312144,19,0.0140161188967102
"BLUP(BLUE)",17,0.376742183298409,20,0.0155969092488741
