"","sigmasq coverage","sigmasq length","sigmatausq coverage","sigmatausq length"
"nonparam",19,0.360079202130667,12,0.040819407085895
"param",16,0.372122984408272,18,0.0132564578029853
"BLUP",19,0.389590781271827,20,0.0145236181560851
"BLUP(BLUE)",19,0.384567941573165,20,0.00667552093270404
